medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2C1CBC8B0678A4445526F167B45057AE,28941124F6E870BC4AA02F57B09E1932,VTS,1,,2013-01-13 10:27:00,2013-01-13 10:33:00,1,360,.93,-73.992584,40.743206,-73.979897,40.739822
CC96218E72B47110FCD778DB9AAE560D,07375E4F3127EC5354725C1C991C632B,VTS,1,,2013-01-13 10:25:00,2013-01-13 10:29:00,1,240,.80,-73.970741,40.798977,-73.975899,40.78994
B5B2CB8B79EBD8F8FB54CD275BCC9BB6,D178649FB77744321E3454197D58C775,VTS,1,,2013-01-13 10:21:00,2013-01-13 10:31:00,1,600,2.70,-73.994949,40.75552,-74.001694,40.724571
E088F1ADBC5962AC31E8721FFAE337A6,DA5BF1C67630F74A684404592F47128C,VTS,1,,2013-01-13 10:19:00,2013-01-13 10:34:00,5,900,5.36,-73.920532,40.743649,-73.994843,40.725147
BB02801F232FE86D4F1897BAF69D4AA8,E29C6F42D20E3D696BB346A0E762D5FA,VTS,1,,2013-01-13 10:29:00,2013-01-13 10:33:00,2,240,.98,-73.990845,40.75663,-73.981354,40.760529
C1DCFD0D91D7ACE813AFB545907BC433,077417D58D4A6A01BF8234BC726A3002,VTS,1,,2013-01-13 10:25:00,2013-01-13 10:32:00,1,420,1.64,-73.966484,40.759899,-73.98027,40.748344
90666ADD2A1A29EF574FE51A6D903097,3B8C449B8098315DBC5CBF69D241890D,VTS,1,,2013-01-13 10:31:00,2013-01-13 10:35:00,6,240,.82,-73.973,40.743271,-73.999062,40.761917
0901A56EF820DE0A2F999426B5B3DDAE,15589D617DB1B13418DE284711599A7D,VTS,1,,2013-01-13 10:14:00,2013-01-13 10:30:00,5,960,5.39,-73.973839,40.758022,-73.907333,40.777134
F865789AEA73DF9A5CDECE38BC5BB3B5,73AFB78D19CDE621A984693A69BE691F,VTS,1,,2013-01-13 10:31:00,2013-01-13 10:36:00,3,300,1.06,-73.997154,40.722137,-73.990479,40.733799
BC3A3D1BECC84F0FAAEAC0F725FC221E,D1CD6337D73853AEC9E7FCFCEEC14ABB,VTS,1,,2013-01-13 10:30:00,2013-01-13 10:36:00,1,360,1.10,-73.994514,40.741516,-74.008209,40.735661
13C1BCFC3B73B6ADBA4212B1CC7AA615,20ED5F2589A40E8369E552EA9EFB763C,VTS,1,,2013-01-13 10:19:00,2013-01-13 10:37:00,2,1080,9.37,-73.97953,40.74649,-73.870277,40.773144
C6F764385EAF6CA7A5A24D2CC64C75EF,B33A6D8D11A7228BA67BFCFC48B992DA,VTS,1,,2013-01-13 10:29:00,2013-01-13 10:37:00,1,480,2.24,-73.975945,40.77631,-73.958084,40.800381
