medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
8EE0228CDE558F17DB404DD891263059,F38B617FDC793554E2D371747F7354D5,VTS,1,,2013-01-13 06:55:00,2013-01-13 06:56:00,4,60,.76,-73.950989,40.774494,-73.945099,40.782829
DFD77FAD2F98FC845FE33EBF81BBF0CA,85D8089BDBA9653EDD3F72673555952B,VTS,1,,2013-01-13 06:32:00,2013-01-13 06:52:00,1,1200,10.02,-73.969597,40.757053,-73.863525,40.837772
D7D905C58B59346320E8E881A08945C0,B4D8DEFD9B0E43F51D52F910B63FCFB5,VTS,1,,2013-01-13 06:51:00,2013-01-13 06:57:00,1,360,1.66,-73.999924,40.733047,-74.009293,40.716061
37DCA5FA626EC97DD2DF9012103D88BA,FE03D322531E880C760C05A7A5A042F2,VTS,1,,2013-01-13 10:28:00,2013-01-13 10:30:00,1,120,.50,-73.934029,40.802387,-73.937721,40.797104
311388FEEE44CE52E5583E1091117E0A,F8B5BF9A4FDF01B1FE0AC61BE8283560,VTS,1,,2013-01-13 10:11:00,2013-01-13 10:31:00,6,1200,7.01,-73.962234,40.719738,-74.013184,40.713799
4BE2632C4D6BFA5244911FE164AC3B61,9E714FAA4F0104863473A70752C4888B,VTS,1,,2013-01-13 10:22:00,2013-01-13 10:33:00,6,660,3.11,-73.976433,40.747982,-73.95282,40.785866
551A6129F0AA6FB08CD86DB622EC0583,BB41CB49A982045F7E70FEDE095062A2,VTS,1,,2013-01-13 10:24:00,2013-01-13 10:33:00,1,540,1.85,-73.949722,40.784603,-73.968025,40.784893
63D58684D0FD448715C6005C997D33E9,B3205ACFE7D3A0565268839D58C57863,VTS,1,,2013-01-13 09:53:00,2013-01-13 10:32:00,6,2340,9.82,-74.006721,40.735992,-74.00251,40.738827
BBCE5C66BCA2C17D1B3CBA3224477DE5,ED20CE1C447DD68B758F96F2E2551B92,VTS,1,,2013-01-13 10:27:00,2013-01-13 10:34:00,2,420,2.06,-73.97683,40.744572,-73.963654,40.766739
6636D67579483DF7161F1B95DB9DFA5C,CFEB16BB5A2FB5F5D423832603A6EB2D,VTS,1,,2013-01-13 10:17:00,2013-01-13 10:31:00,4,840,8.81,-73.984367,40.745232,-73.872086,40.771484
385362C459F2DECC00D7E262B5F0B4C3,AB69CEC0635F64977151F108BCCCEF44,VTS,1,,2013-01-13 10:22:00,2013-01-13 10:30:00,5,480,1.89,-73.992065,40.731316,-73.990776,40.750332
89576B6258E068FCF5E9295EBF50E13A,45CD3467D2C1D9CA9FD6BF5ED8538E36,VTS,1,,2013-01-13 10:30:00,2013-01-13 10:36:00,1,360,1.17,-73.999138,40.734211,-73.993233,40.74221
D027BF57D3368C0E5B2296C5F4460B3F,801A4E75B7A78CE7BBBC3AF08929ECE7,VTS,1,,2013-01-13 10:26:00,2013-01-13 10:36:00,1,600,2.76,-73.991119,40.729805,-73.974045,40.763271
EDC498F8AB44E4697ECB239CF11E001F,1574B0623F12A7FFCB8D85500C2CD047,VTS,2,,2013-01-13 10:35:00,2013-01-13 10:35:00,1,0,.00,0,0,0,0
8F9A97E0996369A5CA0EDE9E5713F51E,A1BDF1340F735028FECFE70E7E8F323E,VTS,1,,2013-01-13 10:32:00,2013-01-13 10:37:00,1,300,1.30,-73.982254,40.765423,-74.000214,40.758694
096ACCFC956CC07673EC193B24DAAA3E,F41C758E0A9022F59C72F73D1359FD9A,VTS,1,,2013-01-13 10:34:00,2013-01-13 10:36:00,1,120,1.08,-74.000099,40.732903,-73.993439,40.743038
A65364D79584EA8A2A998DED2255D366,330799EE0EB8649DFF029286D7394C0A,VTS,1,,2013-01-13 10:29:00,2013-01-13 10:40:00,3,660,3.26,-73.966286,40.794369,-73.984657,40.75602
44D0ED137ADA1F68D07DCAF4D1BC3ABD,942E9D0571DBA06B2EC28566F3CC0017,VTS,1,,2013-01-13 09:30:00,2013-01-13 09:35:00,2,300,1.02,-73.955299,40.788509,-73.955727,40.777794
D345D558D1922836418890C90E375DBD,D5890D249C80F0CDD13EA40688B6B4F8,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:28:00,1,360,2.18,-73.993324,40.733307,-73.985756,40.757015
1944C571670999651FA4B9BEE710A905,984D613B898A8113F1A0221462B95453,VTS,1,,2013-01-13 09:31:00,2013-01-13 09:33:00,1,120,.48,-73.997665,40.683723,-74.002251,40.681107
BA2E28EC4C10FA42A04131313286A591,82877B958E96D0286EC46B4C187B300E,VTS,1,,2013-01-13 09:26:00,2013-01-13 09:33:00,1,420,2.35,-73.96032,40.766071,-73.981392,40.738132
8CDCE0197BB3E84D350A0AD4B22C4D26,4BAC54C4AF7F32C6AFED00D1A79432FE,VTS,1,,2013-01-13 09:19:00,2013-01-13 09:32:00,1,780,4.48,-74.003586,40.748398,-73.957466,40.782738
C524F426D920EAA2855BD2EBE4AF9DBE,856AAF3022F2287C8C13DB4F5A3BA09C,VTS,1,,2013-01-13 09:25:00,2013-01-13 09:35:00,1,600,1.75,-74.017418,40.706963,-73.994019,40.709911
2AE719E19E1BAAD6732D63DD4D8BA2F8,5C984428219A123FDBB812EFA7875C59,VTS,1,,2013-01-13 09:26:00,2013-01-13 09:34:00,1,480,1.93,-74.004112,40.752789,-73.979652,40.752537
A1793385F9CF9704A7B7F52269BEA13C,BD3FDD51A57D6BF4AFC87143E9A2335C,VTS,1,,2013-01-13 09:23:00,2013-01-13 09:36:00,5,780,3.67,-73.978767,40.777229,-73.995209,40.736996
282DCAD1FE61D972E2F8F7BB6C8E3AC5,85AA268C086B54374B6C5F774193C405,VTS,1,,2013-01-13 09:29:00,2013-01-13 09:35:00,5,360,2.46,-73.948654,40.788914,-73.972046,40.762703
440A33F4382F210004E19B0E2FC795BF,E59970D62D6725D9190D731AD7941309,VTS,1,,2013-01-13 09:30:00,2013-01-13 09:35:00,1,300,1.27,-73.954124,40.806286,-73.942307,40.817112
E9531732861EEB2ED5BCF1174A031D0A,63069DD7839EA2D81F94A65CBE8FF201,VTS,1,,2013-01-13 09:21:00,2013-01-13 09:26:00,1,300,.59,-73.993073,40.752773,-73.988838,40.748962
AA011AAB09733F9EE76DD352BF0E4BF4,C90C0F8F95E1264D9EF380F39F87E0E9,VTS,1,,2013-01-13 09:20:00,2013-01-13 09:24:00,1,240,1.15,-73.959824,40.813911,-73.970383,40.799263
8CE240F0796D072D5DCFE06A364FB5A0,E1CB1996BCB8F3468BD61BA67B7AD223,VTS,1,,2013-01-13 09:24:00,2013-01-13 09:28:00,1,240,.92,-73.974602,40.751148,-73.984756,40.75771
5494EF5EFDA668F383CE2D5169630EC4,01F0FF952B003153460128F002528F22,VTS,1,,2013-01-13 09:20:00,2013-01-13 09:28:00,4,480,2.54,-74.010887,40.715412,-74.008003,40.745991
F782CC8AED0F6FE4C3AAD146A4543C70,49F82D42798830A241BF3B40E3A2544E,VTS,1,,2013-01-13 09:08:00,2013-01-13 09:28:00,1,1200,6.32,-74.004501,40.752178,-73.97406,40.795589
B73B8C7B56FD6C1408DCE3D487132D0A,433A1FBA8805328734E2D3666ED52CFF,VTS,1,,2013-01-13 09:30:00,2013-01-13 09:36:00,5,360,.96,-73.973816,40.763203,-73.9618,40.762325
2E1CB67D8FE2BC6438435A349DF24FB5,B0242B17904E3A728912E0C78A9BCCBA,VTS,1,,2013-01-13 09:20:00,2013-01-13 09:29:00,5,540,1.62,-73.988068,40.746143,-73.995972,40.758961
2F230A36FF070CE3D6DD0F8A634AABF9,98F9F8ECEFBA9E08C1E529BA141FC15C,VTS,1,,2013-01-13 09:19:00,2013-01-13 09:27:00,2,480,1.72,-73.962448,40.773064,-73.979057,40.756203
3F28C8A6D7D660D90AD99C7A49AFEC89,622E24B2EE8839E2EF11050637EB95F9,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:30:00,1,480,2.24,-73.979408,40.761383,-73.998962,40.760075
6204D2988E75007ADDC410D3AD59CD01,B76D3E03346F6A3A8E48DB7711E7CBCA,VTS,1,,2013-01-13 07:50:00,2013-01-13 07:52:00,1,120,.73,-73.960663,40.778477,-73.954796,40.785824
6337221680B06AFC43658D3DF883D2C6,D3F0F3BA89898C296A87AF6758285F05,VTS,1,,2013-01-13 07:50:00,2013-01-13 07:55:00,5,300,1.12,-73.980278,40.785675,-73.989395,40.77293
079E2EE80E3CFA17EB826FDF4DF66C36,B204EA5E792BBEFCB776B3C440414AA7,VTS,1,,2013-01-13 07:48:00,2013-01-13 07:52:00,1,240,1.18,-74.003105,40.717911,-73.988625,40.714214
66FF15C9D7FCB6C429821DF00FABE051,190F7CD2701FF548F636E8A5D581709B,VTS,1,,2013-01-13 07:53:00,2013-01-13 07:56:00,5,180,.45,-74.008308,40.716549,-74.001823,40.715553
1354F44EAEDF475B489A1E5D972FF9AC,EA53B38187D259103E1B95752C83015C,VTS,1,,2013-01-13 07:48:00,2013-01-13 07:53:00,6,300,1.47,-73.963707,40.774292,-73.946404,40.779018
54682A1F241370DE48C872FE5647D2AC,20CF56BD81E26C1935EA96F917066805,VTS,1,,2013-01-13 07:41:00,2013-01-13 07:56:00,1,900,4.42,-73.904778,40.741661,-73.95623,40.76453
D8B129CEEE80E8B848DC00FAD3A0955A,9679D83A6126AC3E5DE02F70442C1E64,VTS,1,,2013-01-13 07:44:00,2013-01-13 07:57:00,6,780,7.31,-73.946442,40.806492,-73.861191,40.767696
67DEEE68E3570467630372DF03F23AF1,EE070BEEA1B6265B31849B7961A9FD3E,VTS,1,,2013-01-13 07:49:00,2013-01-13 07:57:00,2,480,1.72,-73.997231,40.737637,-74.008415,40.747368
C8C0883037778AB88FA31A0A673DC91F,8991EDC10A2A8C2FABE59A2BEE9ECC5C,VTS,1,,2013-01-13 07:50:00,2013-01-13 07:55:00,1,300,1.74,-74.008041,40.744926,-73.999863,40.762943
6B47303FF573EB69371CC7A11522C45F,BD50C5800362CB05615C52A0370E1A80,VTS,1,,2013-01-13 07:46:00,2013-01-13 07:57:00,1,660,1.76,-73.95575,40.776379,-73.973358,40.790047
C7C586831A57EACC5CE0D157D7E3617D,124F1E7C9A179273F7DD296258149330,VTS,1,,2013-01-13 07:53:00,2013-01-13 07:58:00,2,300,1.37,-73.96476,40.764248,-73.949173,40.773499
D6B8D56A5D40E146B8D997FE746D7992,972D3BFAA5DE759A2733240121975168,VTS,1,,2013-01-13 07:42:00,2013-01-13 07:57:00,1,900,8.01,-73.78199,40.644661,-73.808701,40.725342
2B1A06E9228B7278227621EF1B879A1D,8DCA9421CE812F7A3176975C8E265D33,VTS,1,,2013-01-13 07:49:00,2013-01-13 07:57:00,1,480,1.32,-73.968636,40.766422,-73.975838,40.776146
E5018BD908BDABB9213131D8BB0FAE5E,6D7B9EEC8C66416A9CC03DF6F879EC67,VTS,1,,2013-01-13 07:49:00,2013-01-13 07:59:00,4,600,2.27,-74.001015,40.747147,-73.981224,40.7691
E2099162DA383A80E2EEF8D61A2612B3,A40155E00B0D5728EDB91EAB68C0A303,VTS,1,,2013-01-13 07:46:00,2013-01-13 07:59:00,1,780,5.08,-73.950928,40.782665,-73.969292,40.746799
